Id,Authority,Hub,pageranks
21720365,0.984619,0.000387,0.020826
22711857,0.054389,0.024603,0.001151
23257362,0.04899,0.024451,0.001062
22274685,0.039212,0.024113,0.00092
22006311,0.038346,0.02278,0.001259
21908773,0.037915,0.022124,0.001753
21990299,0.037446,0.023007,0.001387
12677558,0.036925,0.001038,0.00996
18264087,0.035226,0.000235,0.007201
24332043,0.03458,0.023546,0.000754
24240112,0.034157,0.028655,0.000304
25366685,0.034031,0.000274,0.001579
21709188,0.032588,0.002116,0.000856
20547991,0.026928,0.00132,0.001095
18413725,0.023507,0.001234,0.004787
25218906,0.023293,0.023075,0.000405
20606085,0.023002,0.001542,0.001046
17416853,0.022063,0.0013,0.003143
22608084,0.021458,0,0.005529
20453858,0.021154,0.000528,0.003196
23047548,0.020101,0.025327,0.000884
22193408,0.020055,0.001442,0.001797
11179017,0.019691,0.000599,0.008271
20049735,0.017223,0.00016,0.019461
19654294,0.015578,0.001385,0.000971
25818403,0.015479,0.005006,0.000206
18208621,0.013706,0.000471,0.001435
22576213,0.013634,0.023919,0.000768
9497246,0.013607,0.000029,0.020085
21821475,0.013027,0.000734,0.000931
24448499,0.011742,0.023137,0.00033
24842883,0.011534,0.003024,0.00016
21565612,0.011532,0.001173,0.002275
25779564,0.011198,0.029233,0.000261
22416079,0.011167,0.023335,0.000814
26720728,0.011107,0.003902,0.000166
22915752,0.010807,0.000236,0.000941
24560445,0.010481,0.026006,0.000204
24240700,0.009772,0.02351,0.000256
26510020,0.009689,0.001186,0.001389
20616022,0.009511,0.000194,0.001728
24218601,0.009382,0.024648,0.000255
24131966,0.009239,0.000283,0.00016
22617326,0.008915,0.022953,0.000509
20810374,0.008789,0.001025,0.001633
17200668,0.008644,0.000005,0.009042
24225019,0.008553,0.027357,0.000295
19383374,0.008318,0.001893,0.000273
21521830,0.008231,0.000128,0.001301
19141781,0.008189,0.001404,0.001129
17456833,0.008099,0.000442,0.000798
24504028,0.008032,0.026153,0.000069
23415752,0.00802,0.002995,0.000195
22291137,0.00787,0.000792,0.00063
19264984,0.007612,0.000194,0.003774
22144499,0.00755,0.000193,0.000492
20729832,0.00748,0.000559,0.001624
24085845,0.007343,0.002555,0.000634
25398451,0.007295,0.026931,0.000111
22789542,0.007278,0.000438,0.001192
26723501,0.007271,0.000765,0.000072
22139894,0.007172,0.024318,0.000162
24554720,0.006995,0.023829,0.000136
23544013,0.006843,0.001492,0.000481
23257159,0.006767,0.00201,0.000253
21706030,0.006611,0.000116,0.000914
19369211,0.006551,0.000244,0.001081
25608477,0.00654,0.024696,0.000127
25719666,0.006536,0.023682,0.003545
18268356,0.006465,0.001209,0.001305
20597068,0.006457,0,0.000188
22673632,0.006226,0.027621,0.000152
11532935,0.006157,0.000118,0.017515
23548269,0.006031,0.000354,0.000284
21205087,0.006028,0.003142,0.000257
27135926,0.005963,0.001387,0.001606
28302823,0.005913,0.025783,0.00044
21233401,0.005907,0.000537,0.000851
25833843,0.005773,0.028662,0.000526
24567435,0.005756,0.00046,0.000352
25093514,0.005751,0.026022,0.00015
20665887,0.005705,0.000442,0.001339
19048115,0.005698,0,0.000207
26261251,0.005694,0.002019,0.000099
24265793,0.005666,0.02551,0.000236
17160431,0.005614,0.000474,0.000361
17101782,0.005583,0.000138,0.00103
