from,to
25643705,8524414
25624909,8524414
25605252,8524414
25604866,8524414
25593598,8524414
25513881,8524414
25483746,8524414
25382762,8524414
25371887,8524414
25371446,8524414
25368521,8524414
25366075,8524414
25362854,8524414
25337581,8524414
25301930,8524414
25282148,8524414
25253900,8524414
25224030,8524414
25214894,8524414
25136594,8524414
25120034,8524414
24998779,8524414
24974076,8524414
24941967,8524414
24922460,8524414
24835992,8524414
24824314,8524414
24796624,8524414
24792170,8524414
24771903,8524414
24706727,8524414
24686251,8524414
24675953,8524414
24675890,8524414
24627786,8524414
24549055,8524414
24504028,8524414
24467842,8524414
24395671,8524414
24319497,8524414
24292448,8524414
24281179,8524414
24225019,8524414
24213133,8524414
24155760,8524414
24155753,8524414
24143190,8524414
24141787,8524414
24139550,8524414
24091897,8524414
24052750,8524414
24043945,8524414
24025454,8524414
24004841,8524414
23977314,8524414
23961350,8524414
23935381,8524414
23912341,8524414
23907126,8524414
23884293,8524414
23841703,8524414
23833673,8524414
23802008,8524414
23788797,8524414
23785296,8524414
23762064,8524414
23755158,8524414
23712866,8524414
23704879,8524414
23683081,8524414
23675233,8524414
23531862,8524414
23519070,8524414
23483928,8524414
23481354,8524414
23438721,8524414
23409019,8524414
23369278,8524414
23355272,8524414
23354980,8524414
23344037,8524414
23339072,8524414
23319807,8524414
23316441,8524414
23300410,8524414
23290425,8524414
23239986,8524414
23226154,8524414
23199085,8524414
23199084,8524414
23187834,8524414
23099437,8524414
23091540,8524414
23057551,8524414
23028338,8524414
22987526,8524414
22970155,8524414
22889934,8524414
22848303,8524414
22848222,8524414
22836122,8524414
22753008,8524414
22747109,8524414
22713736,8524414
22706632,8524414
22649661,8524414
22629260,8524414
22576469,8524414
22481874,8524414
22460208,8524414
22401137,8524414
22253144,8524414
22244659,8524414
22193408,8524414
22187435,8524414
22171747,8524414
22157285,8524414
22153967,8524414
22121225,8524414
22117567,8524414
22112691,8524414
22109874,8524414
22109790,8524414
22090379,8524414
22079017,8524414
22044206,8524414
22039535,8524414
22009639,8524414
21989022,8524414
21821475,8524414
21789034,8524414
21779458,8524414
21779174,8524414
21731065,8524414
21670257,8524414
21647941,8524414
21603858,8524414
21576276,8524414
21505449,8524414
21466675,8524414
21424380,8524414
21336636,8524414
21264404,8524414
21247504,8524414
21240275,8524414
21232165,8524414
21205740,8524414
21169536,8524414
21161372,8524414
21149333,8524414
20961453,8524414
20956782,8524414
20877337,8524414
20847884,8524414
20735817,8524414
20729859,8524414
20729832,8524414
20727220,8524414
20723205,8524414
20719876,8524414
20693321,8524414
20687957,8524414
20631063,8524414
20603073,8524414
20537966,8524414
20510205,8524414
20460509,8524414
20454511,8524414
20410767,8524414
20407467,8524414
20393310,8524414
20380699,8524414
20308661,8524414
20299221,8524414
20233468,8524414
20233467,8524414
20223026,8524414
20219108,8524414
20151317,8524414
20073072,8524414
20051372,8524414
20031965,8524414
20008842,8524414
19949876,8524414
19918804,8524414
19906782,8524414
19785775,8524414
19737971,8524414
19690177,8524414
19683094,8524414
19656415,8524414
19619314,8524414
19609323,8524414
19594276,8524414
19584259,8524414
19519208,8524414
19443538,8524414
19383375,8524414
19383374,8524414
19352458,8524414
19330030,8524414
19303847,8524414
19241424,8524414
19200054,8524414
19128425,8524414
19089664,8524414
18990703,8524414
18979190,8524414
18816319,8524414
18783588,8524414
18783406,8524414
18711133,8524414
18708369,8524414
18703817,8524414
18688698,8524414
18687797,8524414
18662409,8524414
18616822,8524414
18535005,8524414
18513387,8524414
18463613,8524414
18451181,8524414
18431501,8524414
18418466,8524414
18417535,8524414
18385729,8524414
18349277,8524414
18299447,8524414
18284688,8524414
18268124,8524414
18257128,8524414
18230020,8524414
18186929,8524414
18091988,8524414
18053174,8524414
18042939,8524414
17972177,8524414
17945002,8524414
17940634,8524414
17916242,8524414
17888188,8524414
17683639,8524414
17570480,8524414
17529967,8524414
17285126,8524414
17105750,8524414
17079251,8524414
17018815,8524414
17018160,8524414
16978908,8524414
16916448,8524414
16905680,8524414
16764716,8524414
16672066,8524414
16595073,8524414
16539695,8524414
16536962,8524414
16513631,8524414
16507150,8524414
16415210,8524414
16361123,8524414
16229746,8524414
16168118,8524414
16014699,8524414
15987455,8524414
15930293,8524414
15858120,8524414
15784723,8524414
15632077,8524414
15583691,8524414
15505627,8524414
15314155,8524414
15287965,8524414
15280342,8524414
15138471,8524414
15057823,8524414
15026808,8524414
15014444,8524414
12677558,8524414
12471197,8524414
12114473,8524414
11953874,8524414
11857010,8524414
11597317,8524414
11592035,8524414
11556835,8524414
11531255,8524414
11461078,8524414
11389159,8524414
11320250,8524414
11283264,8524414
11250747,8524414
11250724,8524414
11250722,8524414
11250694,8524414
11250683,8524414
11250682,8524414
11250680,8524414
11207042,8524414
11170890,8524414
11158174,8524414
11073541,8524414
11044354,8524414
10952777,8524414
10952774,8524414
10889864,8524414
10807692,8524414
10788334,8524414
10767783,8524414
10755399,8524414
10724455,8524414
10682665,8524414
10662810,8524414
10646885,8524414
10639883,8524414
10593998,8524414
10584867,8524414
10577940,8524414
10570174,8524414
10560359,8524414
10528853,8524414
10486320,8524414
10473643,8524414
10408855,8524414
10408690,8524414
10373512,8524414
10360664,8524414
10353781,8524414
10229703,8524414
10227398,8524414
10205260,8524414
10188893,8524414
10090881,8524414
10070883,8524414
10070865,8524414
9888479,8524414
9874798,8524414
9843483,8524414
9836472,8524414
9832031,8524414
9822391,8524414
9811893,8524414
9792861,8524414
9743305,8524414
9742920,8524414
9733032,8524414
9667663,8524414
9652774,8524414
