"Source","Target"
17411443,11823860
17417968,12829800
17420468,11823860
17420468,12829800
17428335,11823860
17428335,12829800
17431503,15829967
17438530,11823860
17442482,11823860
17446929,12829800
17452630,11823860
17453008,11823860
17456594,11823860
17456594,12829800
17459151,15829967
17460773,11823860
17473362,11823860
17474988,11823860
17474988,12829800
17478523,11823860
17483321,11823860
17489018,11823860
17490475,11823860
17493263,11823860
17493263,12829800
17496191,12829800
17496191,15829967
17498287,11823860
17504517,11823860
17504517,12829800
17512859,11823860
17515956,11823860
17515959,11823860
17519006,11823860
17522712,11823860
17533414,15829967
17535433,11823860
17537232,12829800
17537652,15829967
17537911,11823860
17542648,11823860
17550303,11823860
17553173,11823860
17555561,11823860
17561992,11823860
17569134,12829800
17578664,12829800
17588268,12829800
17591675,12829800
17591932,11823860
17598908,12829800
17600117,11823860
17612401,11823860
17618862,11823860
17622301,11823860
17626182,12829800
17626182,15829967
17626183,15829967
17627304,11823860
17634144,11823860
17636051,12829800
17638852,11823860
17650314,12829800
17651507,11823860
17653589,11823860
17660860,11823860
17663798,12829800
17666119,11823860
17683518,11823860
17683518,12829800
17697391,11823860
17709381,11823860
17713587,11823860
17715296,11823860
17764577,11823860
17785539,11823860
17786023,15829967
17848300,11823860
17848951,12829800
17850661,11823860
17850661,12829800
17855511,11823860
17855657,11823860
17855657,12829800
17868458,11823860
17868458,12829800
17875215,11823860
17875215,12829800
17875704,12829800
17883867,11823860
17883867,12829800
17888167,12829800
17888189,12829800
17894856,11823860
17894856,12829800
17900369,11823860
17907813,11823860
17910759,11823860
17910759,12829800
17912639,11823860
17912640,12829800
17913748,15829967
17914110,11823860
17922911,11823860
17922911,12829800
17925008,11823860
17925008,12829800
17940502,11823860
17940530,11823860
17940531,11823860
17940611,11823860
17940611,12829800
17940619,11823860
17963508,11823860
17963508,12829800
17971227,12829800
17981087,15829967
17984306,11823860
17996651,12829800
18000362,11823860
18000362,12829800
18030330,11823860
18031300,11823860
18036273,12829800
18042714,15829967
18047674,12829800
18058030,11823860
18066063,12829800
18081427,11823860
18081933,11823860
18083688,11823860
18088408,11823860
18093965,11823860
18093965,12829800
18094752,11823860
18097463,11823860
18167534,12829800
18179684,12829800
18179693,12829800
18182985,11823860
18182985,12829800
18186929,15829967
18187509,12829800
18187569,12829800
18194560,11823860
18194724,11823860
18205914,11823860
18205949,11823860
18208621,15829967
18211678,11823860
18221568,11823860
18226260,11823860
18230143,12829800
18231104,11823860
18231641,11823860
18237400,11823860
18242514,11823860
18242514,12829800
18248671,12829800
18256926,12829800
18264087,15829967
18271962,12829800
18275599,12829800
18277385,11823860
18282701,11823860
18292239,11823860
18301994,11823860
18304324,11823860
18305103,11823860
18312212,11823860
18314063,12829800
18320359,11823860
18332126,12829800
18334028,12829800
18347175,11823860
18347175,12829800
18349857,11823860
18353983,11823860
18355402,11823860
18358709,11823860
18358709,12829800
18360707,11823860
18366616,11823860
18366635,11823860
18366788,11823860
18366788,12829800
18369654,12829800
18371194,12829800
18371393,11823860
18381931,11823860
18382427,12829800
18385729,15829967
18386930,12829800
18388863,15829967
18394172,12829800
18394187,11823860
18394990,12829800
18398036,11823860
18404369,11823860
18405362,11823860
18405391,12829800
18413737,15829967
18413808,12829800
18414401,11823860
18414489,11823860
18416850,11823860
18416850,12829800
18419801,11823860
18423048,11823860
18423048,12829800
18425214,12829800
18425577,11823860
18425577,12829800
18426791,12829800
18427120,11823860
18428746,11823860
18430221,11823860
18430221,12829800
18437204,11823860
18437204,12829800
18437558,12829800
18439262,11823860
18439262,12829800
18440304,11823860
18443292,12829800
18449360,11823860
18451142,15829967
18451150,15829967
18455428,11823860
18458115,11823860
18464289,11823860
18466439,11823860
18467422,11823860
18473724,15829967
18473726,15829967
18483356,15829967
18483364,11823860
18483613,11823860
18490921,12829800
18497862,11823860
18497862,12829800
18498248,12829800
18505921,11823860
18507500,11823860
18508806,11823860
18510726,11823860
18516291,12829800
18523068,11823860
18532913,12829800
18533032,11823860
18544962,12829800
18554411,11823860
18556775,11823860
18559090,12829800
18562478,11823860
18563556,12829800
18564431,11823860
18568367,11823860
18574145,15829967
18582627,11823860
18586707,11823860
18588682,11823860
18591436,11823860
18593900,15829967
18593928,11823860
18596239,15829967
18596922,11823860
18597688,11823860
18606634,11823860
18612310,12829800
18618012,11823860
18621762,12829800
18625720,11823860
18628764,15829967
18635567,11823860
18641005,12829800
18642293,11823860
18645624,11823860
18648365,11823860
18648520,12829800
18652698,11823860
18662380,11823860
18662380,12829800
18670041,11823860
18671830,11823860
18676742,11823860
18676749,11823860
18678838,11823860
18680240,11823860
18681955,12829800
18682529,15829967
18684329,11823860
18684498,15829967
18693809,11823860
18703705,11823860
18706976,11823860
18710598,11823860
18710882,11823860
18714337,12829800
18714348,11823860
18714348,12829800
18715143,15829967
18715778,11823860
18715778,12829800
18717985,11823860
18717985,12829800
18720553,15829967
18726992,12829800
18755890,11823860
18757322,11823860
18757322,12829800
18757891,15829967
18761753,11823860
18767902,11823860
18771580,12829800
18778486,11823860
18779610,11823860
18779610,12829800
18781520,12829800
18782450,12829800
18786252,11823860
18786252,12829800
18787018,11823860
18787609,15829967
18790755,11823860
18793472,11823860
18793473,11823860
18794137,11823860
18794137,12829800
18803878,11823860
18803878,12829800
18804420,11823860
18808719,12829800
18811984,11823860
18813357,11823860
18823535,11823860
18826606,11823860
18826606,12829800
18827815,11823860
18827816,11823860
18828875,11823860
18831779,11823860
18831787,11823860
18833576,12829800
