Id,Label,Authority,Hub,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
9634504,,0.000225,0.000026,2,0.001323,31,2,33,31,2,33
9326338,,0,0.000008,2,0.000013,0,1,1,0,1,1
9150156,,0.000068,0.000009,2,0.000689,7,2,9,7,2,9
9150153,,0.000968,0.000008,2,0.004045,45,1,46,45,1,46
9150152,,0.000066,0.000017,2,0.001923,17,4,21,17,4,21
9150150,,0.000282,0.000036,2,0.005126,24,4,28,24,4,28
9150148,,0.000813,0.0001,2,0.00484,78,12,90,78,12,90
9042909,,0.0008,0.000008,2,0.003265,50,1,51,50,1,51
9042907,,0.000186,0.000012,2,0.007197,30,3,33,30,3,33
8933332,,0,0.000008,2,0.000013,0,1,1,0,1,1
8880569,,0,0.000008,2,0.000013,0,1,1,0,1,1
8651293,,0,0.000008,2,0.000013,0,1,1,0,1,1
8548703,,0,0,5,0.000062,2,0,2,2,0,2
8612250,,0,0,5,0.000013,0,1,1,0,1,1
23317700,,0,0,23,0.000013,0,1,1,0,1,1
8756642,,0,0,23,0.000013,0,1,1,0,1,1
30135548,,0,0.000029,1,0.000013,0,1,1,0,1,1
8630282,,0.001294,0,1,0.000329,21,0,21,21,0,21
25136623,,0.000668,0.027623,41,0.00003,5,22,27,5,22,27
22673632,,0.006226,0.027621,41,0.000152,25,17,42,25,17,42
22347400,,0,0.001001,0,0.000013,0,6,6,0,6,6
22293751,,0.000641,0.000088,32,0.000194,14,5,19,14,5,19
21472990,,0,0.000117,0,0.000013,0,3,3,0,3,3
21157981,,0,0.000029,1,0.000013,0,1,1,0,1,1
17997301,,0,0.000029,2,0.000013,0,3,3,0,3,3
15047740,,0,0.000029,1,0.000013,0,1,1,0,1,1
14633957,,0,0.000159,1,0.000013,0,3,3,0,3,3
11710835,,0.000003,0.000053,1,0.000201,2,5,7,2,5,7
11429050,,0.000002,0.000394,1,0.000059,5,5,10,5,5,10
10471040,,0,0.000029,1,0.000013,0,1,1,0,1,1
10360664,,0,0.000029,1,0.000013,0,2,2,0,2,2
9924343,,0,0.000029,1,0.000013,0,1,1,0,1,1
9777940,,0,0.000029,1,0.000013,0,1,1,0,1,1
9588896,,0,0.000029,1,0.000013,0,1,1,0,1,1
25288723,,0.000505,0.000193,35,0.000179,39,6,45,39,6,45
8644738,,0.000148,0,2,0.010148,19,0,19,19,0,19
23776375,,0,0.00175,23,0.000013,0,17,17,0,17,17
21336636,,0.000884,0.000592,0,0.000147,28,22,50,28,22,50
19165921,,0,0.000003,2,0.000013,0,1,1,0,1,1
18708369,,0.000115,0.000736,51,0.000121,15,16,31,15,16,31
18687797,,0,0.002398,2,0.000013,0,16,16,0,16,16
18178632,,0,0.00003,0,0.000013,0,3,3,0,3,3
17640379,,0.00006,0.000348,2,0.000103,5,4,9,5,4,9
16768547,,0.000134,0.000095,0,0.00009,14,7,21,14,7,21
12114473,,0.0003,0.000028,0,0.000538,21,3,24,21,3,24
10724455,,0.000004,0.000085,8,0.000936,3,3,6,3,3,6
10682665,,0.000063,0.000086,2,0.000064,7,7,14,7,7,14
10027348,,0,0.000004,2,0.000013,0,2,2,0,2,2
9560268,,0.002415,0.000031,8,0.011578,93,2,95,93,2,95
26981296,,0,0.000001,19,0.000024,1,2,3,1,2,3
8751855,,0.000032,0,2,0.004804,12,0,12,12,0,12
20920338,,0.000002,0.000001,2,0.000038,3,1,4,3,1,4
9888479,,0,0.000019,2,0.000013,0,2,2,0,2,2
9649133,,0,0.000036,2,0.000013,0,5,5,0,5,5
28588243,,0,0,1,0.000013,0,1,1,0,1,1
20028873,,0.000106,0.000088,17,0.000229,21,4,25,21,4,25
12100744,,0.000125,0.000359,2,0.000072,10,4,14,10,4,14
9400938,,0.000047,0.000006,2,0.000791,7,2,9,7,2,9
8825930,,0.000103,0,0,0.012541,7,0,7,7,0,7
20233462,,0.000081,0.001166,0,0.00006,2,5,7,2,5,7
15756256,,0.000001,0.001169,27,0.000181,10,4,14,10,4,14
11170890,,0.00414,0.000457,0,0.004205,91,8,99,91,8,99
8917547,,0.001376,0.000002,1,0.014081,44,1,45,44,1,45
8818936,,0,0.000002,0,0.000013,0,1,1,0,1,1
20233468,,0,0.000307,33,0.000013,0,4,4,0,4,4
8863152,,0.000007,0,28,0.000128,3,0,3,3,0,3
9507390,,0.000045,0,28,0.000119,5,1,6,5,1,6
9391879,,0,0,28,0.000013,0,1,1,0,1,1
28881569,,0.001523,0.002969,44,0.000025,4,11,15,4,11,15
26061043,,0.000017,0.000031,32,0.000044,5,1,6,5,1,6
25548681,,0,0.000149,1,0.000013,0,2,2,0,2,2
25380576,,0,0.000482,1,0.000013,0,2,2,0,2,2
25368521,,0.000083,0.002543,0,0.000071,11,30,41,11,30,41
24624361,,0.00536,0.027098,41,0.000085,20,13,33,20,13,33
23613873,,0,0.000031,32,0.000084,7,1,8,7,1,8
23285190,,0,0.000482,1,0.000013,0,2,2,0,2,2
22542848,,0,0.000031,1,0.000013,0,1,1,0,1,1
22405187,,0.000147,0.000226,0,0.000152,19,4,23,19,4,23
22073136,,0,0.022154,1,0.000013,0,2,2,0,2,2
20389018,,0,0.000031,1,0.000013,0,1,1,0,1,1
20185827,,0,0.00014,1,0.000013,0,2,2,0,2,2
19602291,,0.004894,0.001364,32,0.000233,21,4,25,21,4,25
19509300,,0,0.000031,1,0.000013,0,1,1,0,1,1
19327579,,0,0.000093,1,0.000013,0,4,4,0,4,4
19101576,,0,0.000424,8,0.000013,0,11,11,0,11,11
19016568,,0.000554,0.000031,1,0.000095,6,1,7,6,1,7
16914727,,0,0.000031,1,0.000013,0,1,1,0,1,1
16741564,,0,0.000031,1,0.000013,0,1,1,0,1,1
16434996,,0.000088,0.000086,32,0.000371,39,3,42,39,3,42
16229810,,0,0.000031,1,0.000013,0,1,1,0,1,1
16109739,,0,0.000031,1,0.000013,0,1,1,0,1,1
15967981,,0,0.000031,1,0.000013,0,1,1,0,1,1
15606925,,0.000532,0.000031,41,0.000129,8,1,9,8,1,9
15226308,,0,0.000031,1,0.000013,0,1,1,0,1,1
14612409,,0,0.000031,1,0.000013,0,1,1,0,1,1
12809565,,0,0.000031,1,0.000013,0,1,1,0,1,1
12559046,,0,0.000031,1,0.000013,0,1,1,0,1,1
12509456,,0,0.000031,1,0.000013,0,1,1,0,1,1
12058064,,0,0.000031,1,0.000013,0,1,1,0,1,1
11742488,,0,0.000031,1,0.000013,0,1,1,0,1,1
11359908,,0,0.000044,1,0.000013,0,2,2,0,2,2
11250695,,0,0.000031,1,0.000013,0,1,1,0,1,1
11056686,,0,0.000031,1,0.000013,0,1,1,0,1,1
10584867,,0,0.000104,1,0.000013,0,3,3,0,3,3
9811893,,0.000832,0.000418,1,0.006163,55,4,59,55,4,59
9653194,,0,0.000031,1,0.000013,0,1,1,0,1,1
9382087,,0,0.000058,1,0.000013,0,2,2,0,2,2
9342365,,0,0.000058,1,0.000013,0,2,2,0,2,2
9192668,,0.00121,0.000031,8,0.014044,66,1,67,66,1,67
22825469,,0,0,1,0.000013,0,1,1,0,1,1
15483347,,0,0,1,0.000013,0,1,1,0,1,1
11376129,,0,0,1,0.000013,0,1,1,0,1,1
10551800,,0,0,1,0.000013,0,1,1,0,1,1
23359154,,0,0,23,0.000013,0,1,1,0,1,1
21687537,,0,0,23,0.000013,0,1,1,0,1,1
21059814,,0,0,23,0.000013,0,1,1,0,1,1
19760029,,0,0,23,0.000013,0,1,1,0,1,1
18332990,,0,0,23,0.000013,0,1,1,0,1,1
16393667,,0,0,23,0.000013,0,1,1,0,1,1
